,CustomerId,Balance,NumOfProducts,HasCrCard,Tenure_x,IsActiveMember,Exited,CreditScore,Geography,Gender,Age,EstimatedSalary,Age Group,Tenure Group,Salary Group,Balance Group,Credit score Group
0,15634602,0,1,1,2,1,1,619,France,Female,42,101348,Working class,Short term cust,High earner,Very low balance,Good score
2,15619304,159660,3,0,8,0,1,502,France,Female,42,113931,Working class,Long term cust,High earner,Fair balance,Good score
3,15701354,0,2,0,1,0,0,699,France,Female,39,93826,Working class,Short term cust,Fair earner,Very low balance,High score
4,15737888,125510,1,1,2,1,0,850,Spain,Female,43,79084,Working class,Short term cust,Fair earner,low balance,High score
5,15574012,113755,2,0,8,0,1,645,Spain,Male,44,149756,Working class,Long term cust,High earner,low balance,Good score
6,15592531,0,2,1,7,1,0,822,France,Male,50,10062,Working class,Long term cust,low earner,Very low balance,High score
7,15656148,115046,4,0,4,0,1,376,Germany,Female,29,119346,Student,Short term cust,High earner,low balance,low score
8,15792365,142051,2,1,4,1,0,501,France,Male,44,74940,Working class,Short term cust,Fair earner,low balance,Good score
9,15592389,134603,1,1,2,1,0,684,France,Male,27,71725,Student,Short term cust,Fair earner,low balance,High score
10,15767821,102016,2,0,6,0,0,528,France,Male,31,80181,Working class,Long term cust,Fair earner,low balance,Good score
11,15737173,0,2,0,3,0,0,497,Spain,Male,24,76390,Student,Short term cust,Fair earner,Very low balance,Good score
12,15632264,0,2,0,10,0,0,476,France,Female,34,26260,Working class,Long term cust,low earner,Very low balance,Good score
13,15691483,0,2,0,5,0,0,549,France,Female,25,190857,Student,Short term cust,High earner,Very low balance,Good score
14,15600882,0,2,1,7,1,0,635,Spain,Female,35,65951,Working class,Long term cust,Fair earner,Very low balance,Good score
15,15643966,143129,2,1,3,1,0,616,Germany,Male,45,64327,Working class,Short term cust,Fair earner,low balance,Good score
16,15737452,132602,1,0,1,0,1,653,Germany,Male,58,5097,Working class,Short term cust,low earner,low balance,High score
17,15788218,0,2,1,9,1,0,549,Spain,Female,24,14406,Student,Long term cust,low earner,Very low balance,Good score
18,15661507,0,1,0,6,0,0,587,Spain,Male,45,158684,Working class,Long term cust,High earner,Very low balance,Good score
19,15568982,0,2,1,6,1,0,726,France,Female,24,54724,Student,Long term cust,Fair earner,Very low balance,High score
20,15577657,0,2,1,8,1,0,732,France,Male,41,170886,Working class,Long term cust,High earner,Very low balance,High score
21,15597945,0,2,0,8,0,0,636,Spain,Female,32,138555,Working class,Long term cust,High earner,Very low balance,Good score
22,15699309,0,1,0,4,0,1,510,Spain,Female,38,118913,Working class,Short term cust,High earner,Very low balance,Good score
23,15725737,0,2,1,3,1,0,669,France,Male,46,8487,Working class,Short term cust,low earner,Very low balance,High score
24,15625047,0,1,1,5,1,0,846,France,Female,38,187616,Working class,Short term cust,High earner,Very low balance,High score
25,15738191,0,2,1,3,1,0,577,France,Male,25,124508,Student,Short term cust,High earner,Very low balance,Good score
26,15736816,136815,1,1,2,1,0,756,Germany,Male,36,170041,Working class,Short term cust,High earner,low balance,High score
27,15700772,0,2,0,9,0,0,571,France,Male,44,38433,Working class,Long term cust,low earner,Very low balance,Good score
29,15656300,59697,2,1,0,1,0,411,France,Male,29,53483,Student,Short term cust,Fair earner,low balance,low score
30,15589475,0,3,0,3,0,1,591,Spain,Female,39,140469,Working class,Short term cust,High earner,Very low balance,Good score
31,15706552,85311,1,1,7,1,0,533,France,Male,36,156731,Working class,Long term cust,High earner,low balance,Good score
32,15750181,110112,2,0,9,0,0,553,Germany,Male,41,81898,Working class,Long term cust,Fair earner,low balance,Good score
33,15659428,0,2,1,6,1,0,520,Spain,Female,42,34410,Working class,Long term cust,low earner,Very low balance,Good score
34,15732963,0,2,1,9,1,0,722,Spain,Female,29,142033,Student,Long term cust,High earner,Very low balance,High score
35,15794171,134264,1,0,0,0,1,475,France,Female,45,27822,Working class,Short term cust,low earner,low balance,Good score
36,15788448,145260,1,1,3,1,0,490,Spain,Male,31,114066,Working class,Short term cust,High earner,low balance,Good score
37,15729599,76548,1,1,7,1,0,804,Spain,Male,33,98453,Working class,Long term cust,Fair earner,low balance,High score
38,15717426,0,1,1,7,1,0,850,France,Male,36,40812,Working class,Long term cust,low earner,Very low balance,High score
39,15585768,70349,2,1,6,1,0,582,Germany,Male,41,178074,Working class,Long term cust,High earner,low balance,Good score
40,15619360,0,1,0,4,0,0,472,Spain,Male,40,70154,Working class,Short term cust,Fair earner,Very low balance,Good score
41,15738148,122522,1,0,8,0,1,465,France,Female,51,181297,Working class,Long term cust,High earner,low balance,Good score
42,15687946,117419,1,1,2,1,0,556,France,Female,61,94153,Working class,Short term cust,Fair earner,low balance,Good score
43,15755196,131394,1,0,2,0,1,834,France,Female,49,194365,Working class,Short term cust,High earner,low balance,High score
44,15684171,155931,1,1,5,1,0,660,Spain,Female,61,158338,Working class,Short term cust,High earner,Fair balance,High score
45,15754849,109421,2,1,4,1,0,776,Germany,Female,32,126517,Working class,Short term cust,High earner,low balance,High score
46,15602280,112045,1,1,9,1,1,829,Germany,Female,27,119708,Student,Long term cust,High earner,low balance,High score
47,15771573,137843,1,1,9,1,1,637,Germany,Female,39,117622,Working class,Long term cust,High earner,low balance,Good score
48,15766205,103391,1,1,2,1,0,550,Germany,Male,38,90878,Working class,Short term cust,Fair earner,low balance,Good score
49,15771873,103769,2,0,2,0,0,776,Germany,Female,37,194099,Working class,Short term cust,High earner,low balance,High score
50,15616550,116363,2,0,10,0,0,698,Germany,Male,44,198059,Working class,Long term cust,High earner,low balance,High score
51,15768193,146050,2,0,5,0,0,585,Germany,Male,36,86424,Working class,Short term cust,Fair earner,low balance,Good score
52,15683553,0,2,0,5,0,0,788,France,Female,33,116978,Working class,Short term cust,High earner,Very low balance,High score
53,15702298,125561,1,0,8,0,1,655,Germany,Male,41,164040,Working class,Long term cust,High earner,low balance,High score
54,15569590,98495,1,0,1,0,1,601,Germany,Male,42,40014,Working class,Short term cust,low earner,low balance,Good score
55,15760861,125211,1,1,1,1,0,619,France,Male,43,113410,Working class,Short term cust,High earner,low balance,Good score
56,15630053,127864,1,0,5,0,0,656,France,Male,45,87107,Working class,Short term cust,Fair earner,low balance,High score
